num,label,predicton,result,,准确率
9.00E+14,1,0.84438455,1,假新闻,51.98%
8.62E+15,1,0.512997,1,真新闻,50.08%
8.69E+15,1,0.51567864,1,总,50.68%
9.37E+15,1,0.7578092,1,,
9.36E+15,1,0.8011066,1,,
8.55E+15,1,0.9760443,1,,
8.55E+15,1,0.44314262,0,,
9.36E+15,1,0.61954707,1,,
9.37E+15,1,0.86456186,1,,
9.36E+15,1,0.7759517,1,,
9.32E+15,1,0.70742434,1,,
9.37E+15,1,0.5033976,1,,
8.97E+15,1,0.31175324,0,,
9.37E+15,1,0.40165588,0,,
8.63E+15,1,0.33233455,0,,
9.37E+15,1,0.31663626,0,,
9.37E+15,1,0.4268763,0,,
9.37E+15,1,0.516447,1,,
9.39E+15,1,0.47873566,0,,
9.39E+14,1,0.3808466,0,,
9.06E+15,1,0.64398456,1,,
9.06E+15,1,0.4926634,0,,
9.01E+15,1,0.5338367,1,,
9.01E+15,1,0.31883585,0,,
9.00E+15,1,0.48061103,0,,
9.00E+15,1,0.52393895,1,,
8.86E+15,1,0.7163426,1,,
9.07E+15,1,0.6093476,1,,
8.86E+15,1,0.35177135,0,,
9.01E+15,1,0.6637004,1,,
8.87E+15,1,0.7006953,1,,
9.01E+14,1,0.49739102,0,,
8.88E+15,1,0.8364835,1,,
9.15E+15,1,0.9998092,1,,
8.92E+15,1,0.4721609,0,,
9.02E+15,1,0.6965019,1,,
8.90E+15,1,0.71540344,1,,
8.61E+15,1,0.666298,1,,
8.82E+15,1,0.8678112,1,,
8.88E+15,1,0.6199884,1,,
9.06E+15,1,0.6133313,1,,
8.63E+15,1,0.36693054,0,,
8.45E+15,1,0.14704327,0,,
9.02E+13,1,0.17122236,0,,
8.71E+15,1,0.3361404,0,,
8.90E+15,1,0.33982146,0,,
9.02E+15,1,0.45085073,0,,
9.04E+15,1,0.502783,1,,
8.46E+15,1,0.52878034,1,,
8.53E+15,1,0.59599584,1,,
9.24E+14,1,0.35855484,0,,
9.30E+15,1,0.5910023,1,,
9.30E+15,1,0.51076585,1,,
9.30E+15,1,0.6790918,1,,
8.50E+15,1,0.33360562,0,,
8.63E+15,1,0.54651344,1,,
9.25E+15,1,0.2582088,0,,
8.51E+15,1,0.61244833,1,,
8.62E+15,1,0.7325383,1,,
8.48E+15,1,0.5338089,1,,
8.75E+14,1,0.26414365,0,,
9.03E+15,1,0.6766658,1,,
8.79E+15,1,0.5726606,1,,
8.83E+15,1,0.69943845,1,,
8.85E+15,1,0.935772,1,,
8.83E+15,1,0.8429885,1,,
9.04E+15,1,0.50235295,1,,
9.27E+15,1,0.3864173,0,,
8.63E+15,1,0.59104663,1,,
9.46E+15,1,0.572784,1,,
8.98E+14,1,0.552866,1,,
9.07E+15,1,0.8037919,1,,
9.32E+15,1,0.6244313,1,,
9.07E+15,1,0.83107203,1,,
9.47E+15,1,0.5115187,1,,
9.31E+15,1,0.62146205,1,,
9.47E+15,1,0.25733435,0,,
8.75E+15,1,0.45912254,0,,
9.09E+15,1,0.5442817,1,,
9.25E+15,1,0.28903446,0,,
9.30E+15,1,0.43431935,0,,
9.21E+15,1,0.56420726,1,,
8.62E+15,1,0.5835573,1,,
9.34E+15,1,0.65780413,1,,
9.03E+15,1,0.562061,1,,
8.43E+15,1,0.35036004,0,,
8.70E+15,1,0.603998,1,,
9.42E+15,1,0.5589955,1,,
8.54E+14,1,0.6276956,1,,
9.53E+15,1,0.50399274,1,,
9.06E+15,1,0.66261244,1,,
9.46E+15,1,0.61054325,1,,
8.63E+15,1,0.36917827,0,,
8.83E+15,1,0.54229647,1,,
9.03E+15,1,0.6039031,1,,
9.46E+15,1,0.63098776,1,,
8.71E+15,1,0.33502162,0,,
8.43E+14,1,0.6971474,1,,
8.81E+15,1,0.03272746,0,,
8.97E+15,1,0.6695541,1,,
9.28E+15,1,0.60411227,1,,
8.56E+15,1,0.34838375,0,,
9.21E+15,1,0.38833028,0,,
9.28E+15,1,0.5383045,1,,
9.30E+15,1,0.7352129,1,,
8.43E+14,1,0.57472634,1,,
9.52E+15,1,0.41676536,0,,
9.52E+15,1,0.59037745,1,,
8.67E+15,1,0.31351253,0,,
9.03E+15,1,0.92524797,1,,
9.03E+15,1,0.72325164,1,,
8.50E+15,1,0.75008637,1,,
8.54E+15,1,0.43787482,0,,
9.00E+15,1,0.45298424,0,,
9.09E+15,1,0.4970421,0,,
9.55E+15,1,0.4286841,0,,
8.53E+15,1,0.49741745,0,,
8.61E+15,1,0.57008153,1,,
8.50E+15,1,0.46901593,0,,
9.41E+15,1,0.41510186,0,,
8.94E+15,1,0.29067698,0,,
8.49E+15,1,0.6356779,1,,
8.67E+15,1,0.2792262,0,,
8.65E+15,1,0.5072105,1,,
9.01E+15,1,0.46433675,0,,
9.10E+15,1,0.58925307,1,,
8.95E+15,1,0.54445386,1,,
8.96E+15,1,0.380168,0,,
8.64E+15,1,0.40387845,0,,
8.62E+15,1,0.47435436,0,,
8.76E+15,1,0.5129988,1,,
8.62E+15,1,0.62134135,1,,
9.43E+15,1,0.53068465,1,,
8.61E+15,1,0.2911147,0,,
8.68E+15,1,0.14442997,0,,
8.86E+15,1,0.5004107,1,,
8.47E+15,1,0.4218507,0,,
8.62E+15,1,0.55316883,1,,
9.00E+15,1,0.4637221,0,,
9.42E+15,1,0.5500358,1,,
8.78E+15,1,0.7025062,1,,
9.15E+15,1,0.5605986,1,,
9.42E+15,1,0.30959302,0,,
9.10E+15,1,0.61899644,1,,
8.82E+15,1,0.29873756,0,,
8.67E+15,1,0.49815026,0,,
8.88E+15,1,0.40405595,0,,
9.20E+15,1,0.55533105,1,,
8.64E+15,1,0.44015044,0,,
8.66E+15,1,0.46895835,0,,
8.66E+15,1,0.21970257,0,,
9.26E+14,1,0.44401145,0,,
9.00E+14,1,0.7913998,1,,
9.03E+14,1,0.6630971,1,,
9.44E+15,1,0.6634295,1,,
8.67E+15,1,0.5800984,1,,
9.44E+15,1,0.6440231,1,,
8.74E+15,1,0.4859532,0,,
9.26E+15,1,0.5547144,1,,
8.45E+15,1,0.79695493,1,,
9.10E+15,1,0.31627086,0,,
9.26E+15,1,0.695541,1,,
9.55E+13,1,0.36792243,0,,
8.67E+15,1,0.52685976,1,,
9.12E+15,1,0.44948623,0,,
9.10E+15,1,0.5238506,1,,
8.94E+14,1,0.6395696,1,,
8.76E+15,1,0.22524397,0,,
8.75E+15,1,0.46485317,0,,
8.82E+14,1,0.46419334,0,,
9.12E+15,1,0.4178708,0,,
8.64E+15,1,0.19013464,0,,
9.45E+15,1,0.4155501,0,,
8.88E+14,1,0.5049035,1,,
9.14E+15,1,0.7634156,1,,
8.98E+15,1,0.9625116,1,,
8.42E+15,1,0.53592765,1,,
8.95E+15,1,0.6665113,1,,
9.17E+15,1,0.52338314,1,,
9.24E+14,1,0.31204262,0,,
8.77E+15,1,0.5500686,1,,
8.96E+15,1,0.4913213,0,,
8.99E+15,1,0.50829697,1,,
9.18E+15,1,0.4343267,0,,
9.12E+15,1,0.8147359,1,,
9.08E+15,1,0.66724133,1,,
9.07E+15,1,0.4284063,0,,
8.99E+15,1,0.28237003,0,,
9.28E+15,1,0.7101885,1,,
9.07E+14,1,0.47293222,0,,
9.18E+15,1,0.37670287,0,,
9.07E+15,1,0.525436,1,,
9.09E+15,1,0.6664089,1,,
9.07E+15,1,0.6683823,1,,
9.10E+14,1,0.4148244,0,,
9.29E+15,1,0.41691008,0,,
9.08E+15,1,0.20003502,0,,
9.09E+15,1,0.54913133,1,,
9.08E+15,1,0.607064,1,,
8.49E+15,1,0.66226065,1,,
8.85E+15,1,0.10557348,0,,
8.84E+15,1,0.42938405,0,,
8.83E+15,1,0.27686718,0,,
8.44E+15,1,0.14942974,0,,
8.44E+15,1,0.7265488,1,,
9.08E+15,1,0.3459031,0,,
8.85E+15,1,0.44176862,0,,
8.85E+15,1,0.5902682,1,,
9.13E+15,1,0.29182076,0,,
8.48E+15,1,0.5997213,1,,
9.42E+15,1,0.60482335,1,,
9.08E+15,1,0.6983435,1,,
8.61E+14,1,0.45525062,0,,
8.76E+14,1,0.8462486,1,,
8.84E+15,1,0.6351311,1,,
8.46E+14,1,0.56039846,1,,
8.71E+15,1,0.50734687,1,,
8.59E+14,1,0.5842289,1,,
9.13E+15,1,0.5255457,1,,
9.11E+14,1,0.5663527,1,,
8.85E+15,1,0.43171966,0,,
8.51E+15,1,0.82448524,1,,
9.42E+15,1,0.7899211,1,,
9.14E+15,1,0.5626074,1,,
9.09E+14,1,0.67106986,1,,
8.87E+15,1,0.5294073,1,,
9.27E+15,1,0.4472124,0,,
8.48E+15,1,0.7347147,1,,
9.16E+15,1,0.89519364,1,,
9.07E+15,1,0.4452391,0,,
8.90E+15,1,0.7366616,1,,
8.47E+15,1,0.48750383,0,,
9.22E+15,1,0.7954117,1,,
9.55E+15,1,0.6130407,1,,
8.84E+15,1,0.37214583,0,,
8.64E+15,1,0.27049354,0,,
9.48E+15,1,0.50171554,1,,
9.16E+15,1,0.8666819,1,,
9.55E+15,1,0.69131845,1,,
9.11E+15,1,0.37269092,0,,
8.51E+15,1,0.8220413,1,,
8.74E+15,1,0.43820155,0,,
9.22E+15,1,0.4390605,0,,
8.89E+15,1,0.4701372,0,,
9.16E+15,1,0.4100366,0,,
8.46E+15,1,0.53973687,1,,
8.89E+15,1,0.5084948,1,,
8.64E+15,1,0.7572474,1,,
9.39E+14,1,0.63327944,1,,
8.62E+15,1,0.6905464,1,,
9.46E+15,1,0.48439574,0,,
8.69E+15,1,0.6369586,1,,
8.78E+15,1,0.5474684,1,,
9.05E+15,1,0.42243898,0,,
8.80E+15,1,0.597081,1,,
8.79E+15,1,0.32180637,0,,
9.05E+15,1,0.5411981,1,,
9.07E+15,1,0.64864206,1,,
8.81E+14,1,0.36504486,0,,
8.69E+15,1,0.7165831,1,,
8.77E+15,1,0.40169445,0,,
8.72E+14,1,0.46105725,0,,
8.73E+15,1,0.1626505,0,,
9.11E+15,1,0.689757,1,,
8.80E+15,1,0.5797518,1,,
8.51E+15,1,0.5885862,1,,
8.78E+15,1,0.33492106,0,,
8.46E+15,1,0.7978082,1,,
9.01E+15,1,0.3408696,0,,
8.63E+15,1,0.49985957,0,,
9.10E+15,1,0.5510775,1,,
8.48E+15,1,0.5863362,1,,
8.80E+15,1,0.43811312,0,,
8.57E+15,1,0.537419,1,,
9.21E+15,1,0.6060492,1,,
8.58E+15,1,0.57373065,1,,
9.22E+15,1,0.7453563,1,,
9.41E+15,1,0.45383725,0,,
9.48E+15,1,0.6810032,1,,
8.93E+15,1,0.8070463,1,,
9.14E+15,1,0.49843654,0,,
8.73E+15,1,0.79820895,1,,
9.10E+15,1,0.660597,1,,
8.53E+15,1,0.7882048,1,,
8.87E+15,1,0.47538653,0,,
9.22E+15,1,0.87108344,1,,
8.67E+15,1,0.8636809,1,,
8.64E+15,1,0.9992204,1,,
8.56E+15,1,0.29520074,0,,
8.51E+15,1,0.4373645,0,,
8.50E+15,1,0.69306046,1,,
8.93E+15,1,0.8059965,1,,
8.96E+15,1,0.8269527,1,,
8.71E+15,1,0.786886,1,,
9.07E+15,1,0.8031654,1,,
8.50E+15,1,0.41220132,0,,
8.55E+15,1,0.8943575,1,,
9.01E+15,1,0.6145328,1,,
8.53E+15,1,0.6065158,1,,
8.85E+15,1,0.50552756,1,,
9.37E+15,1,0.42791465,0,,
9.12E+15,1,0.30715117,0,,
9.20E+15,1,0.4673725,0,,
8.43E+15,1,0.39445946,0,,
8.93E+15,1,0.5620131,1,,
8.45E+15,1,0.6471018,1,,
9.19E+15,1,0.5779253,1,,
8.48E+15,1,0.67197365,1,,
8.67E+15,1,0.65844285,1,,
8.67E+15,1,0.4064431,0,,
9.16E+15,1,0.30607903,0,,
8.66E+14,1,0.3966201,0,,
9.02E+15,1,0.66099215,1,,
9.54E+15,1,0.4121459,0,,
9.54E+15,1,0.78259903,1,,
8.66E+15,1,0.5080856,1,,
9.16E+15,1,0.61404085,1,,
9.55E+15,1,0.50115997,1,,
9.54E+15,1,0.37263626,0,,
8.76E+15,1,0.3751986,0,,
8.82E+15,1,0.57461965,1,,
9.27E+15,1,0.23386914,0,,
8.67E+15,1,0.2761855,0,,
9.13E+15,1,0.33665717,0,,
8.94E+15,1,0.5147082,1,,
8.88E+15,1,0.28774506,0,,
8.66E+15,1,0.5026488,1,,
8.67E+15,1,0.59988046,1,,
8.81E+15,1,0.6791259,1,,
9.10E+15,1,0.31623793,0,,
9.09E+15,1,0.27892092,0,,
8.96E+15,1,0.41248256,0,,
8.98E+15,1,0.3172464,0,,
8.99E+15,1,0.37859985,0,,
9.05E+15,1,0.33323443,0,,
9.09E+15,1,0.39126346,0,,
9.04E+15,1,0.5067415,1,,
8.96E+15,1,0.26404044,0,,
9.09E+15,1,0.2954384,0,,
9.47E+15,1,0.3731856,0,,
9.05E+15,1,0.18340465,0,,
9.04E+15,1,0.38376832,0,,
9.05E+15,1,0.15766193,0,,
9.01E+15,1,0.2473765,0,,
9.00E+15,1,0.40082875,0,,
9.47E+15,1,0.71852267,1,,
8.96E+15,1,0.33507767,0,,
8.53E+15,1,0.29348767,0,,
9.05E+15,1,0.4522289,0,,
9.06E+15,1,0.2657141,0,,
8.90E+15,1,0.45359638,0,,
9.23E+15,1,0.23481148,0,,
9.08E+15,1,0.45104086,0,,
9.05E+15,1,0.6609824,1,,
9.10E+15,1,0.45013133,0,,
9.07E+15,1,0.17914572,0,,
9.44E+15,1,0.4643251,0,,
8.62E+15,1,0.54862845,1,,
9.46E+15,1,0.20144194,0,,
8.35E+15,1,0.6816682,1,,
9.52E+15,1,0.40576336,0,,
9.01E+15,1,0.45480752,0,,
8.49E+15,1,0.32545236,0,,
9.44E+15,1,0.4278164,0,,
9.26E+15,1,0.41912866,0,,
9.24E+15,1,0.23563832,0,,
9.23E+14,1,0.43335655,0,,
9.15E+15,1,0.27826035,0,,
9.14E+15,1,0.50861907,1,,
8.95E+15,1,0.38535768,0,,
9.28E+15,1,0.21375422,0,,
8.74E+15,1,0.3479049,0,,
9.02E+15,1,0.64622515,1,,
8.66E+15,1,0.7531294,1,,
8.70E+15,1,0.58485806,1,,
9.21E+15,1,0.26828682,0,,
8.81E+15,1,0.60458994,1,,
8.83E+15,1,0.5003614,1,,
8.66E+15,1,0.8317139,1,,
8.44E+15,1,0.4722985,0,,
8.49E+15,1,0.39749756,0,,
9.06E+15,1,0.86122024,1,,
9.26E+15,1,0.78153753,1,,
8.90E+15,1,0.5457915,1,,
9.55E+15,1,0.46232682,0,,
9.15E+15,1,0.5149528,1,,
8.80E+15,1,0.64975566,1,,
8.46E+15,1,0.579009,1,,
9.44E+15,1,0.4400789,0,,
8.97E+15,1,0.69279426,1,,
8.61E+15,1,0.36836874,0,,
9.31E+15,1,0.5237685,1,,
8.33E+15,1,0.44191113,0,,
8.65E+14,1,0.6966937,1,,
9.37E+15,1,0.4780212,0,,
8.49E+15,1,0.55986744,1,,
8.91E+15,1,0.43694293,0,,
9.17E+14,1,0.6056437,1,,
9.45E+15,1,0.2620753,0,,
9.50E+15,1,0.69806653,1,,
8.81E+15,1,0.15383404,0,,
9.37E+15,1,0.32933703,0,,
9.36E+15,1,0.4681929,0,,
9.24E+15,1,0.69920504,1,,
8.85E+15,1,0.5870575,1,,
9.41E+15,1,0.43168458,0,,
8.76E+15,1,0.3245637,0,,
9.38E+15,1,0.6379757,1,,
8.88E+14,1,0.507153,1,,
9.32E+15,1,0.7884627,1,,
9.48E+15,1,0.49139076,0,,
8.80E+15,1,0.52460784,1,,
9.31E+15,1,0.8045569,1,,
8.89E+15,1,0.3964691,0,,
9.24E+15,1,0.46172914,0,,
9.48E+14,1,0.4617995,0,,
9.26E+15,1,0.48307595,0,,
8.74E+15,1,0.29944018,0,,
9.14E+15,1,0.36163676,0,,
8.48E+15,1,0.3635261,0,,
9.09E+14,1,0.4450355,0,,
8.66E+14,1,0.42215466,0,,
9.33E+15,1,0.47885716,0,,
8.44E+15,1,0.4204441,0,,
8.79E+15,1,0.44384116,0,,
