num,label,predicton,result,新闻类型,准确率
2493749932,1,-1,0,假新闻,52.62%
4580247171,1,0.30517998,0,真新闻,82.66%
941805037,1,0.5779328,1,总,75.43%
2547891536,1,0.412861,0,,
5189580095,1,0.27827322,0,,
9588339534,1,0.36606425,0,,
8753274298,1,0.54395443,1,,
8105333868,1,0.971292,1,,
9878194459,1,-1,0,,
9521617242,1,0.05268697,0,,
8099144572,1,0.9659868,1,,
2210288941,1,0.90069914,1,,
3783917182,1,0.2861741,0,,
9650269391,1,-1,0,,
7365331782,1,-1,0,,
3503563094,1,-1,0,,
5866775064,1,0.8890646,1,,
1026793571,1,0.9290769,1,,
3896029098,1,0.9071853,1,,
7391946984,1,0.116996236,0,,
2277402152,1,0.46116275,0,,
9940338306,1,0.7653951,1,,
8996311550,1,-1,0,,
3084428038,1,0.51501215,1,,
1601939859,1,0.49521586,0,,
392859545,1,0.63028824,1,,
9098202484,1,0.354388,0,,
5422231977,1,0.7338991,1,,
3111839896,1,0.7025938,1,,
7894516039,1,0.41674954,0,,
1914781905,1,-1,0,,
324494433,1,0.35448202,0,,
3976443648,1,0.5571844,1,,
9454452528,1,0.95763075,1,,
1527288531,1,0.9745335,1,,
2190333050,1,0.34940287,0,,
3196321022,1,0.330351,0,,
5051410001,1,0.41769847,0,,
8107039710,1,0.40798298,0,,
4492802133,1,0.7896305,1,,
9093067371,1,-1,0,,
2405182303,1,-1,0,,
829660617,1,0.42369497,0,,
6283185000,1,0.5527836,1,,
8750519313,1,0.5443942,1,,
3175262640,1,0.6481308,1,,
9444654745,1,0.7499064,1,,
8347611424,1,0.63768643,1,,
3594957031,1,0.4677097,0,,
6010530745,1,0.3902937,0,,
8922369293,1,0.22361752,0,,
9636141965,1,0.14250359,0,,
3210838716,1,0.8567846,1,,
3996753978,1,0.7738787,1,,
988336091,1,0.6223403,1,,
2076682877,1,0.81771034,1,,
2552051738,1,0.72041047,1,,
4507016046,1,0.50822866,1,,
5671352259,1,0.71216536,1,,
8183298967,1,0.7757255,1,,
2582494606,1,0.53488445,1,,
6026676940,1,-1,0,,
5288672998,1,0.27202833,0,,
8611166284,1,-1,0,,
9797842341,1,0.54640716,1,,
9212719071,1,-1,0,,
9503284683,1,0.86969435,1,,
5663483713,1,0.05749752,0,,
9578489765,1,0.47094455,0,,
9067502868,1,0.91452605,1,,
4963306668,1,0.15732303,0,,
7105802899,1,0.61315274,1,,
5328443100,1,0.37808603,0,,
4251184835,1,0.65555173,1,,
1609349373,1,0.44782206,0,,
1533690826,1,0.4305964,0,,
4120648393,1,0.6544759,1,,
5705065905,1,-1,0,,
6058975858,1,0.35366088,0,,
9241910388,1,0.6542291,1,,
2830084039,1,0.412909,0,,
3435438709,1,-1,0,,
4719539514,1,0.9344051,1,,
721768716,1,0.8651975,1,,
8136305724,1,0.34858283,0,,
4079796893,1,0.39340064,0,,
3054032558,1,0.59905714,1,,
9507309467,1,0.7736558,1,,
3350632620,1,0.53714263,1,,
9055104443,1,0.26956883,0,,
5376124345,1,0.5251477,1,,
3554672356,1,0.2229821,0,,
9832756908,1,0.8950923,1,,
2414287507,1,0.74187016,1,,
5409456006,1,0.9992027,1,,
4661831377,1,0.6656168,1,,
9381045575,1,-1,0,,
5427003799,1,0.31947052,0,,
9770645166,1,0.35997465,0,,
4530647042,1,0.34058565,0,,
5333355881,1,-1,0,,
546100856,1,0.14013706,0,,
2799311243,1,-1,0,,
7767457642,1,0.7109986,1,,
1500928748,1,-1,0,,
1834960333,1,-1,0,,
3551471665,1,0.86182183,1,,
4394027963,1,0.62894964,1,,
3554906009,1,0.78639793,1,,
4235263494,1,0.28573063,0,,
8911336316,1,0.85628545,1,,
2727495678,1,0.27595758,0,,
5125414392,1,0.78304315,1,,
4433782210,1,0.04384225,0,,
4294249994,1,0.45955536,0,,
3250877891,1,0.42376968,0,,
5114867074,1,0.38564408,0,,
1778809739,1,0.2926075,0,,
7415145896,1,-1,0,,
1705101669,1,-1,0,,
297212227,1,0.72660404,1,,
1064799299,1,0.41723612,0,,
3793083965,1,0.68210936,1,,
4669006800,1,0.19040383,0,,
3885971599,1,0.22907083,0,,
9839314781,1,0.6785285,1,,
7064865875,1,0.3903255,0,,
1472949555,1,-1,0,,
7753730793,1,-1,0,,
4769910138,1,0.19887722,0,,
3937009586,1,0.94319046,1,,
2408301637,1,0.9496602,1,,
5327470451,1,0.4579991,0,,
3004058768,1,0.6663945,1,,
1333002237,1,0.158394,0,,
4988611075,1,0.6558823,1,,
4628620511,1,0.80813956,1,,
2764114263,1,0.3739028,0,,
7075569039,1,0.7737793,1,,
7194230125,1,0.16130742,0,,
5180376820,1,0.6073941,1,,
6695779931,1,0.31528386,0,,
6657816677,1,0.2428187,0,,
2109585389,1,0.517041,1,,
3065448799,1,0.5987509,1,,
1674483293,1,0.43722537,0,,
4853076939,1,0.77900845,1,,
9154457624,1,-1,0,,
4083945973,1,-1,0,,
9750435466,1,0.785426,1,,
3136026341,1,0.8272386,1,,
253060842,1,0.26373488,0,,
9427889313,1,0.97805756,1,,
5953291579,1,-1,0,,
344987006,1,0.97603256,1,,
9077631034,1,0.5088082,1,,
5669859158,1,0.26214722,0,,
1636531105,1,-1,0,,
190525100,1,0.17724197,0,,
9871580433,1,0.5810598,1,,
3226781929,1,-1,0,,
5267274264,1,0.32360026,0,,
7735472514,1,-1,0,,
8706903729,1,0.75090843,1,,
4183480644,1,0.81582946,1,,
179256935,1,0.14198706,0,,
7874376308,1,0.26378053,0,,
3121542397,1,0.64969206,1,,
9452075412,1,0.39406058,0,,
9627008778,1,0.90286106,1,,
576948808,1,0.8421063,1,,
1702570445,1,0.7214205,1,,
2965059427,1,0.17410898,0,,
3092036275,1,0.60652614,1,,
4157369613,1,0.5901981,1,,
7648194244,1,0.22126044,0,,
8817051852,1,0.20655286,0,,
994232799,1,0.50437033,1,,
480839832,1,0.64367485,1,,
9067064195,1,0.9781947,1,,
4649553091,1,-1,0,,
3291310272,1,0.78447837,1,,
7278164019,1,0.70166105,1,,
7488579792,1,0.6685156,1,,
3970231049,1,0.28760937,0,,
4382603780,1,-1,0,,
1369804075,1,-1,0,,
7855644753,1,-1,0,,
3874323665,1,0.7313262,1,,
1452761710,1,0.48670122,0,,
4080844671,1,0.8806314,1,,
3807603124,1,0.2951548,0,,
3889112616,1,0.82412016,1,,
2313840819,1,0.5199063,1,,
1635033289,1,-1,0,,
8978702474,1,-1,0,,
4442083577,1,0.7724481,1,,
8682242374,1,0.76918423,1,,
1901912137,1,0.8749316,1,,
9798099264,1,0.24339889,0,,
2495820451,1,0.5803443,1,,
3618455117,1,0.97018677,1,,
1828135129,1,0.51234686,1,,
7521939835,1,0.47878084,0,,
6733151531,1,0.8060045,1,,
5216936638,1,0.5232033,1,,
6414003834,1,-1,0,,
5723842911,1,-1,0,,
6619290126,1,0.30450034,0,,
